ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
1,Interview Process,1,Unique Email Addresses,929,67.3%,Easy,3.83649,https://leetcode.com/problems/unique-email-addresses
1,Interview Process,2,Odd Even Jump,975,42.0%,Hard,0.824493,https://leetcode.com/problems/odd-even-jump
1,Interview Process,3,License Key Formatting,482,43.0%,Easy,8.1681,https://leetcode.com/problems/license-key-formatting
1,Interview Process,4,Fruit Into Baskets,904,42.5%,Medium,18.3363,https://leetcode.com/problems/fruit-into-baskets
2,Arrays and Strings,1,Longest Substring Without Repeating Characters,3,30.5%,Medium,91.7317,https://leetcode.com/problems/longest-substring-without-repeating-characters
2,Arrays and Strings,2,Container With Most Water,11,51.1%,Medium,79.0269,https://leetcode.com/problems/container-with-most-water
2,Arrays and Strings,3,3Sum,15,27.0%,Medium,91.8944,https://leetcode.com/problems/3sum
2,Arrays and Strings,4,Next Permutation,31,32.7%,Medium,79.8955,https://leetcode.com/problems/next-permutation
2,Arrays and Strings,5,Multiply Strings,43,34.1%,Medium,43.7201,https://leetcode.com/problems/multiply-strings
2,Arrays and Strings,6,Rotate Image,48,57.3%,Medium,60.9585,https://leetcode.com/problems/rotate-image
2,Arrays and Strings,7,Jump Game,55,34.7%,Medium,51.9882,https://leetcode.com/problems/jump-game
2,Arrays and Strings,8,Plus One,66,43.0%,Easy,37.3739,https://leetcode.com/problems/plus-one
2,Arrays and Strings,9,Minimum Window Substring,76,34.9%,Hard,74.7578,https://leetcode.com/problems/minimum-window-substring
2,Arrays and Strings,10,Read N Characters Given Read4 II - Call multiple times,158,34.2%,Hard,58.4228,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
2,Arrays and Strings,11,Longest Substring with At Most Two Distinct Characters,159,49.5%,Medium,19.8884,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
2,Arrays and Strings,12,Missing Ranges,163,24.3%,Medium,17.4668,https://leetcode.com/problems/missing-ranges
2,Arrays and Strings,13,Next Closest Time,681,45.1%,Medium,21.4669,https://leetcode.com/problems/next-closest-time
2,Arrays and Strings,14,Expressive Words,809,46.9%,Medium,36.4771,https://leetcode.com/problems/expressive-words
2,Arrays and Strings,15,Find And Replace in String,833,50.6%,Medium,14.9125,https://leetcode.com/problems/find-and-replace-in-string
2,Arrays and Strings,16,Maximize Distance to Closest Person,849,42.6%,Easy,20.4373,https://leetcode.com/problems/maximize-distance-to-closest-person
2,Arrays and Strings,17,Valid Parentheses,20,39.1%,Easy,88.5255,https://leetcode.com/problems/valid-parentheses
2,Arrays and Strings,18,Merge k Sorted Lists,23,40.6%,Hard,90.663,https://leetcode.com/problems/merge-k-sorted-lists
2,Arrays and Strings,19,Trapping Rain Water,42,49.2%,Hard,94.9261,https://leetcode.com/problems/trapping-rain-water
2,Arrays and Strings,20,Kth Largest Element in an Array,215,55.8%,Medium,72.0584,https://leetcode.com/problems/kth-largest-element-in-an-array
2,Arrays and Strings,21,Meeting Rooms II,253,45.8%,Medium,70.452,https://leetcode.com/problems/meeting-rooms-ii
2,Arrays and Strings,22,Backspace String Compare,844,46.6%,Easy,37.8435,https://leetcode.com/problems/backspace-string-compare
2,Arrays and Strings,23,Minimum Cost to Hire K Workers,857,49.7%,Hard,7.62242,https://leetcode.com/problems/minimum-cost-to-hire-k-workers
2,Arrays and Strings,24,K Closest Points to Origin,973,64.0%,Medium,82.2488,https://leetcode.com/problems/k-closest-points-to-origin
3,Linked Lists,1,Add Two Numbers,2,34.1%,Medium,97.8625,https://leetcode.com/problems/add-two-numbers
3,Linked Lists,2,Remove Nth Node From End of List,19,35.3%,Medium,46.9641,https://leetcode.com/problems/remove-nth-node-from-end-of-list
3,Linked Lists,3,Merge Two Sorted Lists,21,53.9%,Easy,89.5942,https://leetcode.com/problems/merge-two-sorted-lists
3,Linked Lists,4,Copy List with Random Pointer,138,37.0%,Medium,67.3527,https://leetcode.com/problems/copy-list-with-random-pointer
4,Trees and Graphs,1,Binary Tree Maximum Path Sum,124,34.5%,Hard,66.001,https://leetcode.com/problems/binary-tree-maximum-path-sum
4,Trees and Graphs,2,Word Ladder,127,29.9%,Medium,67.637,https://leetcode.com/problems/word-ladder
4,Trees and Graphs,3,Number of Islands,200,47.1%,Medium,98.9313,https://leetcode.com/problems/number-of-islands
4,Trees and Graphs,4,Course Schedule II,210,41.0%,Medium,55.8497,https://leetcode.com/problems/course-schedule-ii
4,Trees and Graphs,5,Count Complete Tree Nodes,222,47.2%,Medium,27.3665,https://leetcode.com/problems/count-complete-tree-nodes
4,Trees and Graphs,6,Longest Increasing Path in a Matrix,329,43.6%,Hard,52.5296,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
4,Trees and Graphs,7,Decode String,394,50.4%,Medium,77.9109,https://leetcode.com/problems/decode-string
4,Trees and Graphs,8,Evaluate Division,399,51.9%,Medium,43.8532,https://leetcode.com/problems/evaluate-division
4,Trees and Graphs,9,Diameter of Binary Tree,543,48.6%,Easy,59.5423,https://leetcode.com/problems/diameter-of-binary-tree
4,Trees and Graphs,10,Cracking the Safe,753,50.8%,Hard,27.0775,https://leetcode.com/problems/cracking-the-safe
4,Trees and Graphs,11,Robot Room Cleaner,489,70.8%,Hard,21.8937,https://leetcode.com/problems/robot-room-cleaner
4,Trees and Graphs,12,Most Stones Removed with Same Row or Column,947,55.3%,Medium,17.0382,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column
4,Trees and Graphs,13,Flip Equivalent Binary Trees,951,65.6%,Medium,22.5626,https://leetcode.com/problems/flip-equivalent-binary-trees
5,Recursion,1,Word Squares,425,47.8%,Hard,14.0516,https://leetcode.com/problems/word-squares
5,Recursion,2,Strobogrammatic Number II,247,47.8%,Medium,22.8442,https://leetcode.com/problems/strobogrammatic-number-ii
5,Recursion,3,Word Search II,212,35.1%,Hard,59.1441,https://leetcode.com/problems/word-search-ii
5,Recursion,4,Android Unlock Patterns,351,48.6%,Medium,22.7384,https://leetcode.com/problems/android-unlock-patterns
5,Recursion,5,Letter Combinations of a Phone Number,17,47.1%,Medium,70.5068,https://leetcode.com/problems/letter-combinations-of-a-phone-number
5,Recursion,6,Generate Parentheses,22,63.1%,Medium,77.9345,https://leetcode.com/problems/generate-parentheses
6,Sorting and Searching,1,Median of Two Sorted Arrays,4,29.8%,Hard,92.6333,https://leetcode.com/problems/median-of-two-sorted-arrays
6,Sorting and Searching,2,Find First and Last Position of Element in Sorted Array,34,36.3%,Medium,57.8874,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
6,Sorting and Searching,3,Merge Intervals,56,39.5%,Medium,86.3523,https://leetcode.com/problems/merge-intervals
6,Sorting and Searching,4,Insert Interval,57,33.7%,Hard,42.8507,https://leetcode.com/problems/insert-interval
6,Sorting and Searching,5,Valid Anagram,242,57.1%,Easy,46.563,https://leetcode.com/problems/valid-anagram
6,Sorting and Searching,6,Count of Smaller Numbers After Self,315,41.7%,Hard,50.5292,https://leetcode.com/problems/count-of-smaller-numbers-after-self
6,Sorting and Searching,7,Peak Index in a Mountain Array,852,71.7%,Easy,15.6891,https://leetcode.com/problems/peak-index-in-a-mountain-array
7,Dynamic Programming,1,Longest Palindromic Substring,5,29.6%,Medium,93.7021,https://leetcode.com/problems/longest-palindromic-substring
7,Dynamic Programming,2,Maximum Subarray,53,46.7%,Easy,93.8573,https://leetcode.com/problems/maximum-subarray
7,Dynamic Programming,3,Best Time to Buy and Sell Stock,121,50.6%,Easy,84.3863,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
7,Dynamic Programming,4,Maximum Product Subarray,152,31.8%,Medium,58.7899,https://leetcode.com/problems/maximum-product-subarray
7,Dynamic Programming,5,Coin Change,322,35.8%,Medium,73.8711,https://leetcode.com/problems/coin-change
7,Dynamic Programming,6,Split Array Largest Sum,410,44.8%,Hard,44.596,https://leetcode.com/problems/split-array-largest-sum
8,Design,1,LRU Cache,146,33.5%,Medium,95.725,https://leetcode.com/problems/lru-cache
8,Design,2,Min Stack,155,44.8%,Easy,56.1068,https://leetcode.com/problems/min-stack
8,Design,3,Serialize and Deserialize Binary Tree,297,47.8%,Hard,72.4062,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
8,Design,4,Logger Rate Limiter,359,70.9%,Easy,41.3668,https://leetcode.com/problems/logger-rate-limiter
8,Design,5,Insert Delete GetRandom O(1),380,47.7%,Medium,72.5734,https://leetcode.com/problems/insert-delete-getrandom-o1
8,Design,6,Design Search Autocomplete System,642,45.0%,Hard,44.9712,https://leetcode.com/problems/design-search-autocomplete-system
9,Others,1,Reverse Integer,7,25.8%,Easy,74.1591,https://leetcode.com/problems/reverse-integer
9,Others,2,Candy,135,31.8%,Hard,22.7774,https://leetcode.com/problems/candy
9,Others,3,Isomorphic Strings,205,39.9%,Easy,38.3438,https://leetcode.com/problems/isomorphic-strings
9,Others,4,Strobogrammatic Number,246,45.1%,Easy,19.1937,https://leetcode.com/problems/strobogrammatic-number
9,Others,5,Bulls and Cows,299,42.5%,Easy,25.1585,https://leetcode.com/problems/bulls-and-cows
9,Others,6,Range Sum Query 2D - Mutable,308,36.0%,Hard,9.55996,https://leetcode.com/problems/range-sum-query-2d-mutable
9,Others,7,My Calendar II,731,49.4%,Medium,7.55218,https://leetcode.com/problems/my-calendar-ii
9,Others,8,Jewels and Stones,771,86.5%,Easy,21.9604,https://leetcode.com/problems/jewels-and-stones
9,Others,9,Swap Adjacent in LR String,777,34.8%,Medium,30.2682,https://leetcode.com/problems/swap-adjacent-in-lr-string
9,Others,10,Guess the Word,843,46.1%,Hard,53.6028,https://leetcode.com/problems/guess-the-word
9,Others,11,Minimum Area Rectangle,939,51.6%,Medium,32.6815,https://leetcode.com/problems/minimum-area-rectangle
